year,2020_value_coeff
1900,31.374285714285712
1901,30.50277777777778
1902,30.50277777777778
1903,29.67837837837838
1904,28.897368421052633
1905,29.67837837837838
1906,28.897368421052633
1907,27.4525
1908,28.156410256410258
1909,28.897368421052633
1910,27.4525
1911,27.4525
1912,26.782926829268295
1913,26.145238095238092
1914,26.145238095238092
1915,25.537209302325586
1916,23.871739130434786
1917,20.335185185185185
1918,17.1578125
1919,15.04246575342466
1920,13.072619047619046
1921,14.448684210526316
1922,15.466197183098593
1923,15.25138888888889
1924,15.25138888888889
1925,14.83918918918919
1926,14.641333333333334
1927,15.04246575342466
1928,15.25138888888889
1929,15.25138888888889
1930,15.687142857142856
1931,17.1578125
1932,18.932758620689654
1933,19.96545454545455
1934,19.264912280701754
1935,18.932758620689654
1936,18.611864406779663
1937,18.001639344262294
1938,18.611864406779663
1939,18.611864406779663
1940,18.611864406779663
1941,17.711290322580645
1942,15.914492753623188
1943,15.04246575342466
1944,14.83918918918919
1945,14.448684210526316
1946,13.391463414634147
1947,11.681914893617023
1948,10.765686274509806
1949,10.981
1950,10.765686274509806
1951,9.982727272727274
1952,9.804464285714287
1953,9.717699115044248
1954,9.717699115044248
1955,9.717699115044248
1956,9.548695652173912
1957,9.227731092436976
1958,9.000819672131147
1959,8.927642276422766
1960,8.7848
1961,8.715079365079365
1962,8.646456692913386
1963,8.512403100775193
1964,8.382442748091602
1965,8.256390977443608
1966,8.015328467153283
1967,7.787943262411349
1968,7.4700680272108855
1969,7.0845161290322585
1970,6.695731707317074
1971,6.421637426900584
1972,6.239204545454546
1973,5.872192513368984
1974,5.279326923076923
1975,4.837444933920705
1976,4.5754166666666665
1977,4.289453125
1978,3.9930909090909092
1979,3.5885620915032677
1980,3.155459770114943
1981,2.8596354166666664
1982,2.6980343980343986
1983,2.6145238095238095
1984,2.5070776255707763
1985,2.4187224669603524
1986,2.3768398268398268
1987,2.2924843423799586
1988,2.2006012024048096
1989,2.0996175908221795
1990,1.9929219600725951
1991,1.9097391304347828
1992,1.8548986486486487
1993,1.8001639344262295
1994,1.7569600000000003
1995,1.7077760497667185
1996,1.658761329305136
1997,1.6220088626292466
1998,1.596075581395349
1999,1.5620199146514937
2000,1.5104539202200826
2001,1.4700133868808567
2002,1.446772068511199
2003,1.4150773195876285
2004,1.3777917189460476
2005,1.3326456310679615
2006,1.290364277320799
2007,1.2549714285714284
2008,1.2093612334801762
2009,1.2133701657458564
2010,1.193586956521739
2011,1.1571127502634353
2012,1.1332301341589268
2013,1.117090539165819
2014,1.0991991991991994
2015,1.0981
2016,1.0840078973346499
2017,1.0619922630560927
2018,1.0408530805687204
2019,1.0186456400742114
2020,0.9955575702629192
